user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,education_level,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,alcohol_frequency,perceived_stress_score,self_reported_happiness,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic,daily_steps_count,weekly_work_hours,hobbies_count,social_events_per_month,books_read_per_year,volunteer_hours_per_month,travel_frequency_per_year,daily_active_minutes_instagram,sessions_per_day,posts_created_per_week,reels_watched_per_day,stories_viewed_per_day,likes_given_per_day,comments_written_per_day,dms_sent_per_week,dms_received_per_week,ads_viewed_per_day,ads_clicked_per_day,time_on_feed_per_day,time_on_explore_per_day,time_on_messages_per_day,time_on_reels_per_day,followers_count,following_count,uses_premium_features,notification_response_rate,account_creation_year,last_login_date,average_session_length_minutes,content_type_preference,preferred_content_theme,privacy_setting_level,two_factor_auth_enabled,biometric_login_used,linked_accounts_count,subscription_status,user_engagement_score
1,Instagram,51,Female,India,Rural,High,Retired,Bachelor’s,Single,No,7.2,7.7,Good,No,Rarely,3,8,20.8,148,86,8107,49.9,3,4,7,4.3,0,5.0,1,3,42,28,28,5,12,12,4,1,2,1,1,2,374,647,No,0.34,2015,2025-11-02,5.0,Mixed,Tech,Private,Yes,No,0,Free,7.83
2,Instagram,64,Female,United Kingdom,Urban,Middle,Full-time employed,Other,Divorced,No,10.9,8.6,Very poor,No,Rarely,1,1,23.5,133,84,8059,15.6,0,5,10,4.7,2,74.0,5,3,78,54,68,15,18,10,11,1,31,19,16,19,2585,3511,No,0.56,2018,2025-03-22,14.8,Photos,Fashion,Public,No,No,3,Free,1.43
3,Instagram,41,Female,Canada,Urban,Middle,Student,Bachelor’s,In a relationship,No,5.0,6.7,Good,No,Rarely,4,10,28.6,135,88,7872,31.8,4,5,14,1.5,2,5.0,1,7,29,26,25,6,12,13,4,0,3,1,1,1,3414,6761,No,0.73,2011,2025-08-10,5.0,Mixed,Other,Public,Yes,Yes,1,Free,9.67
4,Instagram,27,Non-binary,South Korea,Urban,Middle,Unemployed,Master’s,In a relationship,No,10.6,6.5,Poor,Yes,Never,18,1,22.5,105,73,7801,43.4,2,3,13,3.3,4,233.0,9,5,241,109,132,36,31,32,33,3,108,64,52,64,617,1193,No,0.73,2019,2025-03-31,25.9,Stories,Tech,Private,No,No,1,Free,0.94
5,Instagram,55,Male,India,Urban,Upper-middle,Full-time employed,Bachelor’s,Single,No,7.7,6.8,Average,No,Never,19,1,28.1,146,90,8005,50.2,2,2,12,4.5,3,184.0,14,5,146,113,103,36,29,37,20,5,78,55,22,55,1157,1072,Yes,0.65,2017,2025-03-19,13.1,Videos,Food,Public,Yes,No,0,Free,1.03
6,Instagram,20,Male,United States,Rural,Middle,Full-time employed,Bachelor’s,Married,Yes,5.2,5.8,Poor,No,Several times a week,1,3,25.7,138,71,7964,36.2,4,3,7,4.7,1,49.0,3,3,150,41,55,9,13,13,16,3,29,6,12,13,259,534,No,0.13,2013,2025-02-09,16.3,Photos,Food,Friends only,Yes,Yes,1,Free,1.64
7,Instagram,33,Non-binary,Japan,Urban,Lower-middle,Freelancer,High school,In a relationship,No,6.5,7.7,Poor,No,Never,23,10,24.5,114,72,7861,38.5,4,6,9,1.9,4,125.0,4,7,112,79,80,20,18,34,14,5,64,21,26,44,4373,8085,No,0.79,2012,2025-05-06,31.2,Photos,Tech,Friends only,Yes,No,3,Free,1.12
8,Instagram,51,Female,United Kingdom,Urban,Middle,Full-time employed,Other,Single,Yes,10.5,7.7,Average,No,Several times a week,33,3,20.3,118,85,7932,26.0,1,2,11,5.7,3,282.0,14,5,227,144,158,50,26,37,20,9,167,49,50,87,190,77,No,0.22,2014,2025-11-17,20.1,Videos,Travel,Public,No,No,2,Free,0.96
9,Instagram,31,Female,United Kingdom,Urban,Upper-middle,Retired,High school,Single,No,4.2,8.3,Poor,No,Rarely,12,6,22.2,93,98,8127,27.4,5,3,13,2.2,4,128.0,10,2,118,90,90,16,20,18,23,2,64,38,31,50,904,1129,No,0.98,2011,2025-05-10,12.8,Reels,Art,Public,Yes,Yes,2,Free,0.99
10,Instagram,35,Male,United States,Urban,Low,Student,High school,Married,No,2.1,6.5,Excellent,No,Rarely,25,10,23.3,128,75,8144,37.7,5,3,12,7.0,2,196.0,13,5,176,93,131,27,22,30,24,1,115,34,27,58,170,247,No,0.6,2011,2025-09-13,15.1,Reels,Tech,Friends only,Yes,No,1,Free,1.02
11,Instagram,23,Male,India,Suburban,Low,Full-time employed,Bachelor’s,In a relationship,Yes,1.5,6.5,Poor,Former,Rarely,14,3,22.1,158,95,8009,30.4,2,5,8,2.6,2,240.0,9,13,265,138,139,39,28,33,21,5,113,56,28,61,946,551,No,0.69,2016,2025-11-11,26.7,Videos,Tech,Public,Yes,No,2,Free,1.06
12,Instagram,23,Male,United States,Urban,High,Full-time employed,Bachelor’s,Divorced,Yes,3.3,7.5,Poor,No,Rarely,15,7,21.4,149,74,7925,57.2,3,2,13,1.2,2,123.0,5,9,161,74,78,22,22,18,11,3,68,23,17,48,944,1488,No,0.41,2012,2025-04-25,24.6,Mixed,Art,Friends only,Yes,Yes,0,Free,1.2
13,Instagram,36,Female,Australia,Urban,Middle,Full-time employed,Some college,Single,Yes,10.1,6.6,Very poor,No,Never,7,10,24.3,129,80,8006,34.7,4,3,12,1.8,1,5.0,1,3,50,23,18,8,13,12,3,2,3,1,1,2,386,792,No,0.89,2021,2025-01-23,5.0,Mixed,Fashion,Public,No,Yes,2,Premium,7.17
14,Instagram,65,Male,Japan,Urban,Middle,Full-time employed,High school,Widowed,No,8.7,7.3,Average,No,Never,7,8,24.5,120,69,8120,37.6,3,3,10,3.2,2,5.0,1,1,50,26,32,8,8,8,11,0,2,1,1,1,802,1670,Yes,0.35,2018,2025-05-31,5.0,Live,Travel,Friends only,Yes,Yes,2,Free,8.5
15,Instagram,48,Female,United Kingdom,Urban,Middle,Full-time employed,Bachelor’s,Single,Yes,9.5,5.3,Very poor,No,Rarely,31,3,29.8,113,88,7973,45.6,1,3,6,3.5,2,363.0,45,10,260,150,184,68,42,59,34,18,172,85,88,93,14566,10000,No,0.11,2022,2025-06-18,8.1,Reels,Fashion,Private,No,No,0,Free,0.96
16,Instagram,52,Female,Japan,Urban,High,Freelancer,Bachelor’s,Single,No,10.7,7.2,Poor,No,Weekly,2,10,30.1,127,65,8022,38.8,3,2,9,2.7,3,5.0,1,3,39,31,31,6,15,10,8,1,3,1,1,1,10965,10000,No,0.9,2021,2025-06-28,5.0,Photos,Other,Private,Yes,No,2,Free,8.67
17,Instagram,36,Male,Brazil,Urban,Lower-middle,Full-time employed,Some college,Single,Yes,2.8,8.2,Good,No,Rarely,37,9,26.8,108,86,8120,31.5,5,7,12,1.9,2,273.0,25,8,225,150,145,48,36,44,17,7,157,44,29,74,414,482,No,0.52,2021,2025-05-23,10.9,Photos,Music,Public,Yes,No,2,Business,0.97
